RECORDS_TAG,CUSH,INDIAN_PORT,BE_NO,IMP_DATE,IEC,IMPORTER_NAME,ADDRESS,CITY,CHA_NO,CHA_NAME,ORIGIN_COUNTRY,HS_CODE,PRODUCT_DESCRIPTION,QUANTITY,UNIT,UNIT_VALUE_INR,TOTAL_ASSESSABLE_VALUE_INR,UNIT_PRICE_USD,TOTAL_ASSESS_USD,TOTAL_DUTY_PAID,APPRAISING_GROUP,PORT_OF_SHIPMENT,INVOICE_CURRENCY,SUPPLIER_NAME,SUPPLIER_ADDRESS,INVOICE_UNITPRICE_FC,TYPE,INVOICE_NO,id
672F0DE1-3093-4A22-9266-5D69F4FE5DB6,INNSA1,Nhava Sheva Sea,2522669,2019-03-22T00:00:00,0388076674,THE SUPREME INDUSTRIES LIMITED,612 RAHEJA CHAMBERSNARIMAN POINT,"MUMBAI, MAHARASHTRA",AAHCS9472NCH001,NULL,COLOMBIA,39041020,PVC RESIN SUSPENSION GRADE 35-650 -,520.0,MTS,61250.0,31850000.0,875.0,455000.0,8833597.5,2G,NULL,USD,MEXICHEM RESINAS COLOMBIA S A,S OFICINA BOGOTA AUTOPISTA SUR# 71-75 APARTADO : 14451 BOGOTA D.C. COLOMBIA COLOMBIA,851.749827,H,1,5fc3c2c0078b17bb90f79ab5
672F0DE1-3093-4A22-9266-5D69F4FE5DB6,INNSA1,Nhava Sheva Sea,2522017,2019-03-22T00:00:00,0388076674,THE SUPREME INDUSTRIES LIMITED,612 RAHEJA CHAMBERSNARIMAN POINT,"MUMBAI, MAHARASHTRA",AAHCS9472NCH001,NULL,COLOMBIA,39041020,PVC RESIN SUSPENSION GRADE 35-25 -,520.0,MTS,61250.0,31850000.0,875.0,455000.0,8833597.5,2G,NULL,USD,MEXICHEM RESINAS COLOMBIA S A,S OFICINA BOGOTA AUTOPISTA SUR# 71-75 APARTADO : 14451 BOGOTA D.C. COLOMBIA COLOMBIA,851.749827,H,1,5fc3c2d6078b17bb90fc1ca7
5E40BD58-2914-4F1D-9641-619BBC8A0643,INNSA1,Nhava Sheva Sea,2577131,2019-03-26T00:00:00,0388076674,THE SUPREME INDUSTRIES LIMITED,612 RAHEJA CHAMBERSNARIMAN POINT,"MUMBAI, MAHARASHTRA",AAHCS9472NCH001,NULL,COLOMBIA,39041020,PVC RESIN SUSPENSION GRADE 35-25 -,520.0,MTS,61250.0,31850000.0,875.0,455000.0,8833597.5,2G,NULL,USD,MEXICHEM RESINAS COLOMBIA S A,S OFICINA BOGOTA AUTOPISTA SUR# 71-75 APARTADO : 14451 BOGOTA D.C. COLOMBIA COLOMBIA,851.749827,H,1,5fc3c30bd1799e954fb5c380
1A3324CB-F1BA-4D6B-A9B0-77522CA947A9,INTKD6,Tughlakabad,2708719,2019-04-04T00:00:00,0510041850,S R POLYVINYL LIMITED,"4261/3, JAI MATA MARKET ROAD, TRINAGAR",DELHI,AGKPB0978LCH001,RAHUL BHARDWAJ,COLOMBIA,39041020,PVC 450 25 POLYVINYL CHLORIDE (PVC) SUSPENSION HOMOPOLYMER RESIN,260.0,MTS,62650.0,16289000.0,895.0,232700.0,4517754.2,2G,Cartagena,USD,MEXICHEM RESINAS COLOMBIA S A S,OFICINA BOGOTA AUTOPISTA SUR #71-75 APATADO 14451 BOGOTA D.C.COLOMBIA CO,895.0,H,1,5fc3c403429edc1e4fcd69f8
5E40BD58-2914-4F1D-9641-619BBC8A0643,INCCU1,Kolkata Sea,2638271,2019-03-30T00:00:00,0388076674,THE SUPREME INDUSTRIES LIMITED,612 RAHEJA CHAMBERSNARIMAN POINT,"MUMBAI, MAHARASHTRA",NULL,NULL,COLOMBIA,39041020,POLYVINYL CHLORIDE (PVC) SUSPENSION HOMOPOLYMER RESIN - PVC-440-650,520000.0,KGS,61.95,32214000.0,0.885,460200.0,8934552.9,2G,NULL,USD,N A,N/A,0.885,H,1,5fc3c2efd1799e954fb0400a
4D2A384B-1030-40E5-A974-F5586FA1DDEA,INNSA1,Nhava Sheva Sea,2443168,2019-03-16T00:00:00,0391155652,PRINCE PIPES AND FITTINGS LIMITED,"RUBY HOUSE, 4TH FLOOR, B-WING, J.K.SAWANT MARG, DADAR WEST","MUMBAI, MAHARASHTRA",AAAFR0502JCH001,NULL,COLOMBIA,39041020,PRIME VIRGIN PVC SUSPENSION HOMOPOLYMER RESIN GRADE PVC-440 - -650,260.0,MTS,60350.0,15691000.0,850.0,221000.0,3057391.4,2G,NULL,USD,N A,N/A,850.0,H,1,5fc3c2982980ee77ad0c0e64
174CFE24-2BDC-4B64-9A6C-50C882DA28D0,INNSA1,Nhava Sheva Sea,2880881,2019-04-17T00:00:00,0391155652,PRINCE PIPES AND FITTINGS LIMITED,"RUBY HOUSE, 4TH FLOOR, B-WING, J.K.SAWANT MARG, DADAR WEST","MUMBAI, MAHARASHTRA",AAAFR0502JCH001,NULL,COLOMBIA,39041020,PRIME VIRGIN PVC SUSPENSION HOMOPOLYMER RESIN GRADE PVC-440 - -650,32.534,MT,60074.25001536854,1954455.65,865.0000002212893,28141.91000719942,380825.7,2G,NULL,USD,N A,N/A,865.0,H,1,5fc3c59d3652ffe2524145b7
174CFE24-2BDC-4B64-9A6C-50C882DA28D0,INNSA1,Nhava Sheva Sea,2880881,2019-04-17T00:00:00,0391155652,PRINCE PIPES AND FITTINGS LIMITED,"RUBY HOUSE, 4TH FLOOR, B-WING, J.K.SAWANT MARG, DADAR WEST","MUMBAI, MAHARASHTRA",AAAFR0502JCH001,NULL,COLOMBIA,39041020,PRIME VIRGIN PVC SUSPENSION HOMOPOLYMER RESIN GRADE PVC-440 - -650,487.466,MT,60074.24999897429,29284154.35,864.9999999852308,421658.08999280055,8121960.3,2G,NULL,USD,N A,N/A,865.0,H,1,5fc3c59d3652ffe2524145b9
710E50E4-30D5-4509-9477-30A5BCDDC309,INSAJ6,Tumb ICD,3018559,2019-04-27T00:00:00,0391155652,PRINCE PIPES AND FITTINGS LIMITED,"RUBY HOUSE, 4TH FLOOR, B-WING, J.K.SAWANT MARG, DADAR WEST","MUMBAI, MAHARASHTRA",NULL,NULL,COLOMBIA,39041020,PVC-440-650 (POLYVINYL CHLORIDE (PVC) SUSPENSION HOMOPOLYMER RESIN),1300.0,KGS,62.30386923076923,80995.03,0.8849981424825174,1150.4975852272726,15781.9,2G,Cartagena,USD,N A,N/A,0.861746,H,1,5fc3c5f97b50cdffeffd6c52
710E50E4-30D5-4509-9477-30A5BCDDC309,INSAJ6,Tumb ICD,3018559,2019-04-27T00:00:00,0391155652,PRINCE PIPES AND FITTINGS LIMITED,"RUBY HOUSE, 4TH FLOOR, B-WING, J.K.SAWANT MARG, DADAR WEST","MUMBAI, MAHARASHTRA",NULL,NULL,COLOMBIA,39041020,PVC-440-650 (POLYVINYL CHLORIDE (PVC) SUSPENSION HOMOPOLYMER RESIN),24718.0,KGS,62.30393842543895,1540028.75,0.8849991253613486,21875.408380681816,328627.8,2G,Cartagena,USD,N A,N/A,0.861747,H,1,5fc3c5f97b50cdffeffd6c53
